Name,Street Address,Postal Code,City,Country,lat,lng
The Grand Indian Dining,507 Queen Street W,M5V 2B4,Toronto,Canada,,
Rikki Tikki,209 Augusta Avenue,M5T 2L4,Toronto,Canada,,
Aanch,259 Wellington St W,M5V,Toronto,Canada,,
Barkat,712 Queen Street W,M6J 2K4,Toronto,Canada,,
Banjara Indian Cuisine,796 Bloor Street W,M6G 1L7,Toronto,Canada,,
Bindia Indian Bistro,16 Market Street,M5E 1M6,Toronto,Canada,,
Dil Se Indian Restaurant & Bar,335 Roncesvalles Avenue,M6R 2M8,Toronto,Canada,,
Little India Restaurant,255 Queen Street W,M5V 1Z4,Toronto,Canada,,
The Veggie Thali,"1410 Victoria Park Avenue, Unit 10",M4A 2L8,Toronto,Canada,,
Bawara,1570 Bloor St W,M5G 1S4,Toronto,Canada,,
Aroma Fine Indian Cuisine,287 King St W,M5V 1J5,Toronto,Canada,,
Saffron Spice Kitchen,459 Queen Street W,M5V 2A9,Toronto,Canada,,
Menali Restaurant,471 Danforth Ave,M4K 1P1,Toronto,Canada,,
Pukka,778 St. Clair Avenue W,M6C 1B6,Toronto,Canada,,
Indraprastha Indian Kitchen & Bar- Downtown,5 Baldwin Street,M5T 1L1,Toronto,Canada,,
The Biryaniwalla - Downtown,643 Bloor Street W,M6G 1L1,Toronto,Canada,,
Leela Indian Food Bar,3108 Dundas Street W,M6P 2A1,Toronto,Canada,,
Madras Masala,"796 Bloor Street W, Suite 1",M6G 1L7,Toronto,Canada,,
Bhoj Indian Cuisine,673 Spadina Avenue,M5S 2H9,Toronto,Canada,,
Himalayan Kitchen,1526 Queen Street W,M6R 1A1,Toronto,Canada,,
The Great Maratha,965 Eglinton Avenue W,M6C 2C4,Toronto,Canada,,
Angara Indian & Hakka Cuisine,536 Queen Street W,M5V 2B5,Toronto,Canada,,
Indian Desire,469 Bloor Street W,M5S 1X9,Toronto,Canada,,
Khau Gully,1991 Yonge Street,M4S 1Z8,Toronto,Canada,,
Carnival,369 Keele Street,M6P 2K6,Toronto,Canada,,
Mother India,1456 Queen Street W,M6K 1M2,Toronto,Canada,,
Aamara,1224 St Clair Avenue W,M6E 1B4,Toronto,Canada,,
Khazana - By Chef Sanjeev Kapoor,261 Yonge Street,M5B 1N8,Toronto,Canada,,
Maezo Indian Cuisine,102-250 Dundas Street W,M5T 2Z6,Toronto,Canada,,
By Aanch,633 College Street,M6G 1B5,Toronto,Canada,,
Sher-E-Punjab,351 Danforth Avenue,M4K 1N7,Toronto,Canada,,
Goa Indian Farm Kitchen,"2901 Bayview Avenue, Unit 102",M2K 1E6,Toronto,Canada,,
Cheffry's Artisanal Bistro,"388 Richmond Street W, Unit 5B",M5V 3P1,Toronto,Canada,,
Roja's Kitchen,1647 Queen Street W,M6R 1A9,Toronto,Canada,,
Urban Maharajas,22 The Esplanade,M5E 1A6,Toronto,Canada,,
Indian Roti House,256 Queens Quay W,M5J 1B5,Toronto,Canada,,
The Indian Thing,638 Queen St W,M6J 1E4,Toronto,Canada,,
Utsav,69 Yorkville Ave,M5R 1B8,Toronto,Canada,,
Bombay Palace,71 Jarvis Street,M5C 2H2,Toronto,Canada,,
Raj Mahal Indian Cuisine,"1881 Steeles Avenue W, Dufferin Corners",M3H 5Y4,Toronto,Canada,,
Govardhan Thal,840 Markham Road,M1H 2Y2,Toronto,Canada,,
Bhojan Ghar,1870 Danforth Avenue,M4C 1J4,Toronto,Canada,,
Hakka Wok Hei,371 Roncesvalles Avenue,M6R 2M8,Toronto,Canada,,
The Chulo,"394 Bloor Street, Unit 102",M5S 1X4,Toronto,Canada,,
South Indian Dosa Mahal,9 Roncesvalles Avenue,M6R 2K2,Toronto,Canada,,
Matha Roti - East Indian Cuisine,141 Harbord Street,M5S 2M2,Toronto,Canada,,
The Host Fine Indian Cuisine,87 Elm Street,M5G 0A8,Toronto,Canada,,
My Roti Place,901 King Street West,M5V 3H5,Toronto,Canada,,
Benares Cucina Indian,001 - 49 Front Street E,M5E 1B3,Toronto,Canada,,
Patio Indian Restaurant,15 Gervais Drive,M3C 1Y8,North York,Canada,,
Raahi Kitchen,543 Saint Clair Avenue W,M6C 1A3,Toronto,Canada,,
Mannat Indian & Hakka Bar,839 College St,M6H 1A1,Toronto,Canada,,
Tadka - Sizzling Indian Spices,666 The Queensway,M8Y 1K7,Toronto,Canada,,
The Copper Chimney,2050 Avenue Road,M5M 4A6,Toronto,Canada,,
Baazigar Indian Restaurant,189 Augusta Avenue,M5T 2L4,Toronto,Canada,,
Bukhara Grill,2241A Bloor Street W,M6S 1N7,Toronto,Canada,,
12 Spices,78 Wellesley Street E,M4Y 1H2,Toronto,Canada,,
Mumbaikar Indian Restaurant and Bar,1063 Bloor Street W,M6H 1M5,Toronto,Canada,,
Kathmandu Restaurant,12 Cumberland Street,M4W 1J5,Toronto,Canada,,
Aafrien,55 Eglinton Avenue E,M4P 1G8,Toronto,Canada,,
Tamasha,1835 Yonge Street,M4S 1X8,Toronto,Canada,,
Foodieez - Indian & Hakka Cuisine,1060 Eglinton Avenue West,M6C 2C5,Toronto,Canada,,
Bombay Chowpatty,1386 Gerrard St E,M4L,Toronto,Canada,,
Adrak,138 Avenue Road,M5R 2H6,Toronto,Canada,,
Toronto Chaatwala,250 Dundas Street W,M5T 2Z6,Toronto,Canada,,
Madras Curry,178 Carlton Street,M5A 2K6,Toronto,Canada,,
The Heritage Cafe & Kitchen,368 Queen Street East,M5A 1T1,Toronto,Canada,,
The King’s Kurry,3038 Bloor Street W,M8X 1C4,Toronto,Canada,,
Lageez,641 Pharmacy Avenue,M1L 3H3,Toronto,Canada,,
Roti Mahal Indian Cuisine,554 Queen Street W,M5V 2B5,Toronto,Canada,,
Brar Sweets & Restaurant,2646 Islington Avenue,M9V 2X5,Etobicoke,Canada,,
Cumin Kitchen - Fine Indian Cuisine,1820 Danforth Avenue,M4C 1H8,Toronto,Canada,,
Thindi,400 College Street,M5T 1S7,Toronto,Canada,,
Chowpatty Culture,1966 Queen Street E,M4L 1H8,Toronto,Canada,,
